shop_name,shop_id,city_name,city_LE
Якутск Орджоникидзе  56 фран,0,Якутск,29
Якутск ТЦ  Центральный  фран,1,Якутск,29
Адыгея ТЦ  Мега ,2,Адыгея,0
Балашиха ТРК  Октябрь Киномир ,3,Балашиха,1
Волжский ТЦ  Волга Молл ,4,Волжский,2
Вологда ТРЦ  Мармелад ,5,Вологда,3
Воронеж  Плехановская  13 ,6,Воронеж,4
Воронеж ТРЦ  Максимир ,7,Воронеж,4
Воронеж ТРЦ Сити Парк  Град ,8,Воронеж,4
Выездная Торговля,9,Выездная,5
Жуковский ул  Чкалова 39м ,10,Жуковский,6
Жуковский ул  Чкалова 39м²,11,Жуковский,6
Интернет магазин ЧС,12,Интернет,7
Казань ТЦ  Бехетле ,13,Казань,8
Казань ТЦ  ПаркХаус  II,14,Казань,8
Калуга ТРЦ  XXI век ,15,Калуга,9
Коломна ТЦ  Рио ,16,Коломна,10
Красноярск ТЦ  Взлетка Плаза ,17,Красноярск,11
Красноярск ТЦ  Июнь ,18,Красноярск,11
Курск ТЦ  Пушкинский ,19,Курск,12
Москва  Распродажа ,20,Москва,13
Москва МТРЦ  Афи Молл ,21,Москва,13
Москва Магазин С21,22,Москва,13
Москва ТК  Буденовский   пав А2 ,23,Москва,13
Москва ТК  Буденовский   пав К7 ,24,Москва,13
Москва ТРК  Атриум ,25,Москва,13
Москва ТЦ  Ареал   Беляево ,26,Москва,13
Москва ТЦ  МЕГА Белая Дача II ,27,Москва,13
Москва ТЦ  МЕГА Теплый Стан  II,28,Москва,13
Москва ТЦ  Новый век   Новокосино ,29,Москва,13
Москва ТЦ  Перловский ,30,Москва,13
Москва ТЦ  Семеновский ,31,Москва,13
Москва ТЦ  Серебряный Дом ,32,Москва,13
Мытищи ТРК  XL 3 ,33,Мытищи,14
Н Новгород ТРЦ  РИО ,34,Н,15
Н Новгород ТРЦ  Фантастика ,35,Н,15
Новосибирск ТРЦ  Галерея Новосибирск ,36,Новосибирск,16
Новосибирск ТЦ  Мега ,37,Новосибирск,16
Омск ТЦ  Мега ,38,Омск,17
РостовНаДону ТРК  Мегацентр Горизонт ,39,РостовНаДону,18
РостовНаДону ТРК  Мегацентр Горизонт  Островной,40,РостовНаДону,18
РостовНаДону ТЦ  Мега ,41,РостовНаДону,18
СПб ТК  Невский Центр ,42,СПб,19
СПб ТК  Сенная ,43,СПб,19
Самара ТЦ  Мелодия ,44,Самара,20
Самара ТЦ  ПаркХаус ,45,Самара,20
Сергиев Посад ТЦ  7Я ,46,Сергиев,21
Сургут ТРЦ  Сити Молл ,47,Сургут,22
Томск ТРЦ  Изумрудный Город ,48,Томск,23
Тюмень ТРЦ  Кристалл ,49,Тюмень,24
Тюмень ТЦ  Гудвин ,50,Тюмень,24
Тюмень ТЦ  Зеленый Берег ,51,Тюмень,24
Уфа ТК  Центральный ,52,Уфа,25
Уфа ТЦ  Семья  2,53,Уфа,25
Химки ТЦ  Мега ,54,Химки,26
Цифровой склад 1С Онлайн,55,Цифровой,27
Чехов ТРЦ  Карнавал ,56,Чехов,28
Якутск Орджоникидзе  56,57,Якутск,29
Якутск ТЦ  Центральный ,58,Якутск,29
Ярославль ТЦ  Альтаир ,59,Ярославль,30
